ticker,fetched_at,event_ticker,sport,team,opponent,map_index,market_kind,close_time,yes_bid,yes_ask,volume,our_p
KXCS2MAP-26SEP262100FAROT-2-OT,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100FAROT-2,cs2,Overtake Sector,FarmVille,2,map,2026-09-29T01:00:00Z,0.44,0.6,,0.5196276523525021
KXCS2MAP-26SEP262100FAROT-2-FAR,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100FAROT-2,cs2,FarmVille,Overtake Sector,2,map,2026-09-29T01:00:00Z,0.4,0.56,,0.4713486187439504
KXCS2MAP-26SEP262100FAROT-1-OT,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100FAROT-1,cs2,Overtake Sector,FarmVille,1,map,2026-09-29T01:00:00Z,0.44,0.6,,0.5184317038881772
KXCS2MAP-26SEP262100FAROT-1-FAR,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100FAROT-1,cs2,FarmVille,Overtake Sector,1,map,2026-09-29T01:00:00Z,0.4,0.56,,0.4782112993691364
KXCS2MAP-26SEP262100DTNMAR-2-MAR,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100DTNMAR-2,cs2,Marsborne,DETONATE,2,map,2026-09-29T01:00:00Z,0.65,0.88,,0.767148725871058
KXCS2MAP-26SEP262100DTNMAR-2-DTN,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100DTNMAR-2,cs2,DETONATE,Marsborne,2,map,2026-09-29T01:00:00Z,0.08,0.35,,0.2390348541729987
KXCS2MAP-26SEP262100DTNMAR-1-MAR,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100DTNMAR-1,cs2,Marsborne,DETONATE,1,map,2026-09-29T01:00:00Z,0.65,0.94,,0.7675643997762491
KXCS2MAP-26SEP262100DTNMAR-1-DTN,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP262100DTNMAR-1,cs2,DETONATE,Marsborne,1,map,2026-09-29T01:00:00Z,0.06,0.35,,0.24101171728496842
KXCS2MAP-26SEP272100LAGREGAIN-2-REGAIN,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP272100LAGREGAIN-2,cs2,regain,LAG Gaming,2,map,2026-09-30T01:00:00Z,0.12,0.67,,
KXCS2MAP-26SEP272100LAGREGAIN-2-LAG,2026-09-26T07:34:10+00:00,KXCS2MAP-26SEP272100LAGREGAIN-2,cs2,LAG Gaming,regain,2,map,2026-09-30T01:00:00Z,,,,
